"scenario","sequence","subject_oid","check_ordinal","check_id","status","duration_ns","user_cpu_ns","system_cpu_ns","max_rss_bytes","resource_scope","command_fingerprint"
,,,1,"agent-context","pass",125791,2162000,4324000,31866880,"verifier","735fa38f05b94128"
,,,2,"docs","pass",244606,2251000,4503000,31866880,"verifier","38b6f6b5d8d6343e"
,,,3,"doctrine","pass",318975,2367000,4734000,31866880,"verifier","987ba77acb9d8171"
,,,4,"doctrine-agent-contracts","pass",376298,2367000,5147000,31866880,"verifier","9c4d7b3052329282"
,,,5,"domain-boundaries","pass",373488,2367000,5549000,31866880,"verifier","19739bed89cab20d"
,,,6,"dupcode","pass",218271897664,294569645000,6836668000,63098880,"verifier","f42480928ce49039"
,,,7,"dupcode-baseline","pass",233887957797,611528408000,13976299000,63967232,"verifier","72894871369018bb"
,,,8,"exec-gate","pass",288169073,611834899000,14002789000,63967232,"verifier","89b89f68bd9ee7d8"
,,,9,"executable-contract-first","pass",648583,611835576000,14002789000,63967232,"verifier","77ab6ae794c4b53a"
,,,10,"forbidden-patterns","pass",19171481,611853893000,14003792000,63967232,"verifier","7b37eb77b3f11a8e"
,,,11,"git-hooks","pass",1965432,611853893000,14004634000,63967232,"verifier","5bd70df3137561be"
,,,12,"language","pass",7574138,611859343000,14006792000,63967232,"verifier","a822568263a09fad"
,,,13,"llm-friendly","pass",106779838,611973099000,14034430000,63967232,"verifier","475b23557dc33954"
,,,14,"static-binary","pass",1201103835,611973707000,14038463000,63967232,"verifier","e8a0f54cf1fd5e67"
,,,15,"tooling-boundaries","pass",7826592,611977646000,14042479000,63967232,"verifier","8348801c710ffe89"
